AD,AD1002-AW-,1002,1002-AW-,1002AW810,$10.23,$30.69 EA,0,1
AD,AD1002-AW-,1002,1002-AW-,1002AW11,$13.87,$41.61 EA,0,0
AD,AD1002-AW-,1002,1002-AW-,1002AW16,$19.99,$59.97 EA,0,3
AD,AD1002-BM-,1002,1002-BM-,1002BM810,$10.23,$30.69 EA,0,0
AD,AD1002-BM-,1002,1002-BM-,1002BM11,$13.87,$41.61 EA,0,0
AD,AD1002-BM-,1002,1002-BM-,1002BM16,$19.99,$59.97 EA,0,3
AD,AD1002-DG-,1002,1002-DG-,1002DG81,$10.23,$30.69 EA,0,4
AD,AD1002-DG-,1002,1002-DG-,1002DG11,$13.87,$41.61 EA,0,1
AD,AD1002-DG-,1002,1002-DG-,1002DG16,$19.99,$59.97 EA,0,1
AD,AD1002-SR-,1002,1002-SR-,1002SR81,$10.23,$30.69 EA,0,2
AD,AD1002-SR-,1002,1002-SR-,1002SR11,$13.87,$41.61 EA,0,3
AD,AD1002-SR-,1002,1002-SR-,1002SR16,$19.99,$59.97 EA,0,3
AD,AD1002-SS-,1002,1002-SS-,1002SS81,$10.23,$30.69 EA,0,0
AD,AD1002-SS-,1002,1002-SS-,1002SS11,$13.87,$41.61 EA,0,2
AD,AD1002-SS-,1002,1002-SS-,1002SS16,$19.99,$59.97 EA,0,0
AD,AD1002-YL-,1002,1002-YL-,1002YL81,$10.23,$30.69 EA,0,3
AD,AD1002-YL-,1002,1002-YL-,AD1002-,$13.87,$41.61,0,0
AD,AD1002-YL-,1002,1002-YL-,1002YL16,$19.99,$59.97 EA,0,4
AD,AD2900-BG-,2900,2900-BG-,AD2900-,$11.71,$35.13 EA,0,1
AD,AD2900-BS-,2900,2900-BS-,AD2900-,$11.71,$35.13 EA,0,3
AD,AD2900-NG-,2900,2900-NG-,AD2900-,$11.71,$35.13 EA,0,4
AD,AD2900-NS-,2900,2900-NS-,AD2900-,$11.71,$35.13 EA,0,2
AD,AD2900-SG-,2900,2900-SG-,AD2900-,$11.71,$35.13 EA,0,0
AD,AD2900-SS-,2900,2900-SS-,AD2900-,$11.71,$35.13 EA,0,2
AD,AD3002-BF-,3002,3002-BF-,3002BF81,$8.83,$26.49 EA,0,2
AD,AD3002-BF-,3002,3002-BF-,3002BF11,$12.24,$36.72 EA,0,0
AD,AD3002-BF-,3002,3002-BF-,3002BF16,$17.99,$53.97 EA,0,3
AD,AD3002-BF-,3002,3002-BF-,3002BF18,$22.16,$66.48 EA,0,2
AD,AD3002-BK-,3002,3002-BK-,3002BK81,$8.83,$26.49 EA,0,3
AD,AD3002-BK-,3002,3002-BK-,3002BK11,$12.24,$36.72 EA,0,0
